States,SDG_2023
West Bengal,70
Andaman & Nicobar,70
Chandigarh,77
Daman and Diu and Dadra and Nagar Haveli,-
Delhi,70
Haryana,72
Jharkhand,62
Karnataka,75
Kerala,79
Lakshadweep,66
Madhya Pradesh,67
Maharashtra,73
Puducherry,74
Tamilnadu,78
Chhattishgarh,67
Telengana,74
Andhra Pradesh,74
Goa,77
Himachal Pradesh,77
Punjab,76
Rajasthan,67
Gujarat,77
Uttarakhand,79
Uttar Pradesh,67
Sikkim,76
Assam,65
Arunachal Pradesh,65
Nagaland,63
Manipur,72
Mizoram,72
Tripura,71
Meghalaya,63
Bihar,57
Ladakh,65
Jammu and Kashmir,74
Odisha,66
